corr_threshold,contamination,scaler_type,variance_threshold,pca_variance,silhouette
0.8,0.01,standard,0.0,0.9,0.2855414671956184
0.8,0.01,standard,0.0,0.95,0.2723190142450562
0.8,0.01,standard,0.0,0.99,0.24876363769457246
0.8,0.01,standard,0.01,0.9,0.2855414671956184
0.8,0.01,standard,0.01,0.95,0.2723190142450562
0.8,0.01,standard,0.01,0.99,0.24876363769457246
0.8,0.01,robust,0.0,0.9,0.6800236899088042
0.8,0.01,robust,0.0,0.95,0.669515515453392
0.8,0.01,robust,0.0,0.99,0.6520783675663914
0.8,0.01,robust,0.01,0.9,0.6800236899088042
0.8,0.01,robust,0.01,0.95,0.669515515453392
0.8,0.01,robust,0.01,0.99,0.6520783675663914
0.8,0.02,standard,0.0,0.9,0.29007882673855756
0.8,0.02,standard,0.0,0.95,0.26292638060482587
0.8,0.02,standard,0.0,0.99,0.2521094232145223
0.8,0.02,standard,0.01,0.9,0.29007882673855756
0.8,0.02,standard,0.01,0.95,0.26292638060482587
0.8,0.02,standard,0.01,0.99,0.2521094232145223
0.8,0.02,robust,0.0,0.9,0.6501486580628931
0.8,0.02,robust,0.0,0.95,0.6380280992334596
0.8,0.02,robust,0.0,0.99,0.6181834877013135
0.8,0.02,robust,0.01,0.9,0.6501486580628931
0.8,0.02,robust,0.01,0.95,0.6380280992334596
0.8,0.02,robust,0.01,0.99,0.6181834877013135
0.8,0.05,standard,0.0,0.9,0.2799424386852347
0.8,0.05,standard,0.0,0.95,0.2771633694232098
0.8,0.05,standard,0.0,0.99,0.26556642759266763
0.8,0.05,standard,0.01,0.9,0.2799424386852347
0.8,0.05,standard,0.01,0.95,0.2771633694232098
0.8,0.05,standard,0.01,0.99,0.26556642759266763
0.8,0.05,robust,0.0,0.9,0.6467913260483122
0.8,0.05,robust,0.0,0.95,0.6339217095121785
0.8,0.05,robust,0.0,0.99,0.612977313403507
0.8,0.05,robust,0.01,0.9,0.6467913260483122
0.8,0.05,robust,0.01,0.95,0.6339217095121785
0.8,0.05,robust,0.01,0.99,0.612977313403507
0.9,0.01,standard,0.0,0.9,0.336622041721729
0.9,0.01,standard,0.0,0.95,0.32031486817379534
0.9,0.01,standard,0.0,0.99,0.3156758539040961
0.9,0.01,standard,0.01,0.9,0.336622041721729
0.9,0.01,standard,0.01,0.95,0.32031486817379534
0.9,0.01,standard,0.01,0.99,0.3156758539040961
0.9,0.01,robust,0.0,0.9,0.620642418457772
0.9,0.01,robust,0.0,0.95,0.5996415350732243
0.9,0.01,robust,0.0,0.99,0.5865351890699615
0.9,0.01,robust,0.01,0.9,0.620642418457772
0.9,0.01,robust,0.01,0.95,0.5996415350732243
0.9,0.01,robust,0.01,0.99,0.5865351890699615
0.9,0.02,standard,0.0,0.9,0.3259797724986197
0.9,0.02,standard,0.0,0.95,0.3107667276472531
0.9,0.02,standard,0.0,0.99,0.3058111907979686
0.9,0.02,standard,0.01,0.9,0.3259797724986197
0.9,0.02,standard,0.01,0.95,0.3107667276472531
0.9,0.02,standard,0.01,0.99,0.3058111907979686
0.9,0.02,robust,0.0,0.9,0.6505977652608963
0.9,0.02,robust,0.0,0.95,0.6311815304605491
0.9,0.02,robust,0.0,0.99,0.6176736525528125
0.9,0.02,robust,0.01,0.9,0.6505977652608963
0.9,0.02,robust,0.01,0.95,0.6311815304605491
0.9,0.02,robust,0.01,0.99,0.6176736525528125
0.9,0.05,standard,0.0,0.9,0.29970409546166327
0.9,0.05,standard,0.0,0.95,0.28689174743163415
0.9,0.05,standard,0.0,0.99,0.2783493112265263
0.9,0.05,standard,0.01,0.9,0.29970409546166327
0.9,0.05,standard,0.01,0.95,0.28689174743163415
0.9,0.05,standard,0.01,0.99,0.2783493112265263
0.9,0.05,robust,0.0,0.9,0.6748588689208384
0.9,0.05,robust,0.0,0.95,0.6560229526518058
0.9,0.05,robust,0.0,0.99,0.6426514903516898
0.9,0.05,robust,0.01,0.9,0.6748588689208384
0.9,0.05,robust,0.01,0.95,0.6560229526518058
0.9,0.05,robust,0.01,0.99,0.6426514903516898
0.95,0.01,standard,0.0,0.9,0.3423370237146616
0.95,0.01,standard,0.0,0.95,0.32752380485234794
0.95,0.01,standard,0.0,0.99,0.32317757868883074
0.95,0.01,standard,0.01,0.9,0.3423370237146616
0.95,0.01,standard,0.01,0.95,0.32752380485234794
0.95,0.01,standard,0.01,0.99,0.32317757868883074
0.95,0.01,robust,0.0,0.9,0.5926373729847034
0.95,0.01,robust,0.0,0.95,0.5704011322174467
0.95,0.01,robust,0.0,0.99,0.5618188475707245
0.95,0.01,robust,0.01,0.9,0.5926373729847034
0.95,0.01,robust,0.01,0.95,0.5704011322174467
0.95,0.01,robust,0.01,0.99,0.5618188475707245
0.95,0.02,standard,0.0,0.9,0.33683617213815137
0.95,0.02,standard,0.0,0.95,0.32329313869647525
0.95,0.02,standard,0.0,0.99,0.31798805761870125
0.95,0.02,standard,0.01,0.9,0.33683617213815137
0.95,0.02,standard,0.01,0.95,0.32329313869647525
0.95,0.02,standard,0.01,0.99,0.31798805761870125
0.95,0.02,robust,0.0,0.9,0.6195857359778266
0.95,0.02,robust,0.0,0.95,0.601886375087528
0.95,0.02,robust,0.0,0.99,0.5886516778336384
0.95,0.02,robust,0.01,0.9,0.6195857359778266
0.95,0.02,robust,0.01,0.95,0.601886375087528
0.95,0.02,robust,0.01,0.99,0.5886516778336384
0.95,0.05,standard,0.0,0.9,0.31354827515208017
0.95,0.05,standard,0.0,0.95,0.3028603914544504
0.95,0.05,standard,0.0,0.99,0.2963811084396977
0.95,0.05,standard,0.01,0.9,0.31354827515208017
0.95,0.05,standard,0.01,0.95,0.3028603914544504
0.95,0.05,standard,0.01,0.99,0.2963811084396977
0.95,0.05,robust,0.0,0.9,0.6473969257217014
0.95,0.05,robust,0.0,0.95,0.6301108640780494
0.95,0.05,robust,0.0,0.99,0.6172212663661167
0.95,0.05,robust,0.01,0.9,0.6473969257217014
0.95,0.05,robust,0.01,0.95,0.6301108640780494
0.95,0.05,robust,0.01,0.99,0.6172212663661167
